Имя файла,Нормализованное имя,Найдено описание,Описание
отчет_liferay.csv,отчетliferay,Нет,Нет описания
ЦГАНТД СПБ_Ф.Р-398. Оп.31. Д.77. Л.1.jpg,цгантдспбфр398оп31д77л1,Да,"Капитальный ремонт дорог. Материалы обследования дорог, площадей и газонов. Сведения о расположении геодезических знаков на территории парка и др.
ЦГАНТД СПБ_Ф.Р-398. Оп.31. Д.77. Л.1"
ЦГАНТД СПБ_Ф.Р-46. Оп.31. Д.322. Л.1.jpg,цгантдспбфр46оп31д322л1,Да,"Ситуационный план Оранжереи.
ЦГАНТД СПБ_Ф.Р-46. Оп.31. Д.322. Л.1"
ЦГАНТД СПБ_Ф.Р-488. Оп.328. Д.357. Л.4.jpg,цгантдспбфр488оп328д357л4,Да,"Проект реставрации кордонного камня. Шаблон Ш-1.
ЦГАНТД СПБ_Ф.Р-488. Оп.328. Д.357. Л.4"
ЦГАНТД СПБ_Ф.Р-488. Оп.328. Д.375. Л.10.jpg,цгантдспбфр488оп328д375л10,Да,"Павильон «Эрмитаж». Поручни для балконов. Эскизный проект. Общий вид. 
ЦГАНТД СПБ_Ф.Р-488. Оп.328. Д.375. Л.10"
ЦГАНТД СПБ_Ф.Р-488. Оп.328. Д.375. Л.14.jpg,цгантдспбфр488оп328д375л14,Да,"Эрмитаж. Фасады. Поручни для балконов. Общие виды. Спецификация
ЦГАНТД СПБ_Ф.Р-488. Оп.328. Д.375. Л.14"
ЦГАНТД СПБ_Ф.Р-488. Оп.328. Д.375. Л.15.jpg,цгантдспбфр488оп328д375л15,Да,"Павильон «Эрмитаж». Дубовый поручень.
ЦГАНТД СПБ_Ф.Р-488. Оп.328. Д.375. Л.15"
ЦГАНТД СПБ_Ф.Р-488. Оп.328. Д.380. Л.1.jpg,цгантдспбфр488оп328д380л1,Да,"Отчет по исследовательской теме: «Изыскание покрытий для защиты от коррозии тыльной стороны свинцовых барельефов Большого Каскада в Нижнем парке г. Петродворца».
ЦГАНТД СПБ_Ф.Р-488. Оп.328. Д.380. Л.14"
ЦГАНТД СПБ_Ф.Р-488. Оп.328. Д.380. Л.14.jpg,цгантдспбфр488оп328д380л14,Да,"Отчет по исследовательской теме: «Изыскание покрытий для защиты от коррозии тыльной стороны свинцовых барельефов Большого Каскада в Нижнем парке г. Петродворца».
ЦГАНТД СПБ_Ф.Р-488. Оп.328. Д.380. Л.14"
ЦГАНТД СПБ_Ф.Р-488. Оп.328. Д.380. Л.15.jpg,цгантдспбфр488оп328д380л15,Да,"Отчет по исследовательской теме: «Изыскание покрытий для защиты от коррозии тыльной стороны свинцовых барельефов Большого Каскада в Нижнем парке г. Петродворца».
ЦГАНТД СПБ_Ф.Р-488. Оп.328. Д.380. Л.15"
